Date;Last Price
2020-06-23 20:00:00;-48.75
2020-06-23 19:30:00;-48.75
2020-06-23 17:30:00;-48.75
2020-06-23 17:00:00;-48.75
2020-06-23 16:30:00;-48.75
2020-06-23 16:00:00;-48.75
2020-06-23 15:30:00;-49
2020-06-23 15:00:00;-49
2020-06-23 14:30:00;-49.05
2020-06-23 14:00:00;-49
2020-06-23 13:30:00;-49
2020-06-23 13:00:00;-49
2020-06-23 12:30:00;-49.075
2020-06-23 12:00:00;-48.615
2020-06-23 11:30:00;-48.5
2020-06-23 11:00:00;-48.606
2020-06-23 10:30:00;-48.5
2020-06-23 10:00:00;-48.662
2020-06-23 09:30:00;-48.476
2020-06-23 09:00:00;-48.438
2020-06-23 08:30:00;-47.809
2020-06-23 08:00:00;-48
2020-06-23 07:30:00;-48
2020-06-23 07:00:00;-48.2
2020-06-23 06:30:00;-48.375
2020-06-23 06:00:00;-48
2020-06-23 05:30:00;-48
2020-06-23 05:00:00;-48
2020-06-23 04:30:00;-48
2020-06-23 04:00:00;-48.25
2020-06-23 03:30:00;-48.5
2020-06-23 03:00:00;-48.5
2020-06-23 02:30:00;-48.5
2020-06-23 02:00:00;-48.5
2020-06-23 01:30:00;-48.478
2020-06-23 01:00:00;-48.5
2020-06-23 00:30:00;-48.5
2020-06-23 00:00:00;-48.5
2020-06-22 23:30:00;-48.375
2020-06-22 23:00:00;-48.5
2020-06-22 22:30:00;-48.375
2020-06-22 22:00:00;-48.375
2020-06-22 21:30:00;-48.566
2020-06-22 21:00:00;-48.5
2020-06-22 20:30:00;-48.5
2020-06-22 20:00:00;-48.5
2020-06-22 19:30:00;-48.5
2020-06-22 17:30:00;-48.5
2020-06-22 17:00:00;-48.5
2020-06-22 16:30:00;-48.5
2020-06-22 16:00:00;-48.75
2020-06-22 15:30:00;-49
2020-06-22 15:00:00;-49.25
2020-06-22 14:30:00;-49.25
2020-06-22 14:00:00;-49.375
2020-06-22 13:30:00;-49.625
2020-06-22 13:00:00;-49.625
2020-06-22 12:30:00;-49.75
2020-06-22 12:00:00;-49.625
2020-06-22 11:30:00;-49.625
2020-06-22 11:00:00;-49.625
2020-06-22 10:30:00;-49.75
2020-06-22 10:00:00;-49.75
2020-06-22 09:30:00;-49.75
2020-06-22 09:00:00;-49.688
2020-06-22 08:30:00;-49.75
2020-06-22 08:00:00;-49.5
2020-06-22 07:30:00;-49.5
2020-06-22 07:00:00;-49.5
2020-06-22 06:30:00;-49.75
2020-06-22 06:00:00;-49.75
2020-06-22 05:30:00;-49.75
2020-06-22 05:00:00;-49.75
2020-06-22 04:30:00;-49.75
2020-06-22 04:00:00;-49.75
2020-06-22 03:30:00;-49.75
2020-06-22 03:00:00;-49.75
2020-06-22 02:30:00;-49.75
2020-06-22 02:00:00;-49.875
2020-06-22 01:30:00;-49.875
2020-06-22 01:00:00;-49.875
2020-06-22 00:30:00;-49.859
2020-06-22 00:00:00;-49.875
2020-06-21 23:30:00;-49.875
2020-06-21 23:00:00;-49.75
2020-06-21 22:30:00;-49.875
2020-06-21 22:00:00;-49.75
2020-06-21 21:30:00;-49.875
2020-06-21 21:00:00;-49.75
2020-06-21 20:30:00;-49.788
2020-06-21 20:00:00;-49.75
2020-06-21 19:30:00;-49.75
2020-06-19 16:30:00;-49.725
2020-06-19 16:00:00;-49.639
2020-06-19 15:30:00;-49.7
2020-06-19 15:00:00;-49.75
2020-06-19 14:30:00;-49.75
2020-06-19 14:00:00;-49.62
2020-06-19 13:30:00;-49.121
2020-06-19 13:00:00;-48.975
2020-06-19 12:30:00;-49.188
2020-06-19 12:00:00;-49.188
2020-06-19 11:30:00;-49.125
2020-06-19 11:00:00;-49.25
2020-06-19 10:30:00;-49.225
2020-06-19 10:00:00;-49.777
2020-06-19 09:30:00;-49.938
2020-06-19 09:00:00;-50
2020-06-19 08:30:00;-50.125
